process,released_to_air,released_to_water,released_to_land_soil,waste_flowback_fluid,remains_underground
formulation into a mixture,2.5%,2%,0.01%,N/A,N/A
use of hydraulic fracturing fluids,<1-5%,<1-5%,<1-5%,5-15%,85-95%
