substance_name,cas_rn,mean_concentration_ng_g
6:2 FTOH,647-42-7,754
8:2 FTOH,678-39-7,402.5
MeFOSE,24448-09-7,0.429
N-EtFOSE,1691-99-2,0.025
N-MeFOSA,31506-32-8,0.035
PFBA,"375-22-4

45048-62-2

2218-54-4",21.702
PFBS,"375-73-5

45187-15-3

68259-10-9",0.262
PFDA,"3830-45-3

73829-36-4

335-76-2",0.729
PFDoDA,"307-55-1

307-67-5",0.349
PFDS,"335-77-3

126105-34-8",0.04
PFHpA,"20109-59-5

21049-36-5

375-85-9

6130-43-4",5.111
PFHpS,"21934-50-9

375-92-8

146689-46-5",0.01
PFHxA,"21615-47-4

307-24-4

92612-52-7",67.605
PFHxDA,67905-19-5,0.35
PFHxS,"108427-53-8

355-46-4

3871-99-6",15.229
PFNA,"375-95-1

72007-68-2",0.4
PFOA,"335-67-1

335-95-5

45285-51-6",272.378
PFOS,"45298-90-6

1763-23-1

2795-39-3",0.052
PFPeA,"45167-47-3

68259-11-0

2706-90-3",1.997
PFTeDA,"365971-87-5

376-06-7",0.194
