substance_name,cas_rn,mean_concentration_ng_g
10:2 FTOH,865-86-1,310
4:2 FTS,"414911-30-1

757124-72-4",2.9
6:2 FTOH,647-42-7,1700
8:2 FTOH,678-39-7,230
PFBA,"375-22-4

45048-62-2

2218-54-4",16.72
PFBS,"375-73-5

45187-15-3

68259-10-9",1.012
PFDA,"3830-45-3

73829-36-4

335-76-2",23.05
PFDoDA,"307-55-1

307-67-5",15.335
PFDS,"335-77-3

126105-34-8",0.283
PFHpA,"20109-59-5

21049-36-5

375-85-9

6130-43-4",28.128
PFHpS,"21934-50-9

375-92-8

146689-46-5",0.52
PFHxA,"21615-47-4

307-24-4

92612-52-7",19.585
PFHxS,"108427-53-8

355-46-4

3871-99-6",2.701
PFNA,"375-95-1

72007-68-2",10.159
PFOA,"335-67-1

335-95-5

45285-51-6",418.2
PFOS,"45298-90-6

1763-23-1

2795-39-3",1.382
PFPeA,"45167-47-3

68259-11-0

2706-90-3",6.71
PFTeDA,"365971-87-5

376-06-7",4.732
PFTrDA,"72629-94-8

862374-87-6",2.034
PFUnDA,"2058-94-8

60871-96-7",10.642
