process,released_to_air,released_to_water_footnote,released_to_land_footnote_soil,waste_recovered_water,retained_in_oil_and_gas_stream
formulation into a mixture,2.5%,2%,0.01%,N/A,N/A
"use of functional fluid at industrial site (tracers, anti-foaming agents",5%,5%,5%,17%,68%
