substance_name,cas_rn,mean_concentration_ng_g
6:2 FTS,"27619-97-2 

425670-75-3",0.345
PFBA,"375-22-4 

45048-62-2 

2218-54-4",12.605
PFBS,"375-73-5 

45187-15-3 

68259-10-9",0.922
PFDA,"3830-45-3 

73829-36-4 

335-76-2",0.089
PFDoDA,"307-55-1 

307-67-5",0.092
PFDS,"335-77-3 

126105-34-8",0.107
PFHpA,"20109-59-5 

21049-36-5 

375-85-9 

6130-43-4",0.068
PFHpS,"21934-50-9 

375-92-8 

146689-46-5",0.036
PFHxA,"21615-47-4 

307-24-4 

92612-52-7",0.15
PFHxS,"108427-53-8 

355-46-4 

3871-99-6",0.066
PFNA,"375-95-1 

72007-68-2",0.221
PFOA,"335-67-1 

335-95-5 

45285-51-6",0.225
PFOS,"45298-90-6 

1763-23-1 

2795-39-3",0.346
PFOSA,1763-23-1,0.65
PFPeA,"45167-47-3 

68259-11-0 

2706-90-3",0.158
PFTeDA,"365971-87-5 

376-06-7",0.096
PFTrDA,"72629-94-8 

862374-87-6",0.1
PFUnDA,"2058-94-8 

60871-96-7",0.215
